hsa-let-7a,MIMAT0000062
hsa-miR-200c,MIMAT0000617
hsa-miR-200c-3p,MIMAT0004657
hsa-miR-202,MIMAT0002811
hsa-miR-202-3p,MIMAT0002810
hsa-miR-203,MIMAT0000264
hsa-miR-204,MIMAT0000265
hsa-miR-205,MIMAT0000266
hsa-miR-205-3p,MIMAT0009197
hsa-miR-2052,MIMAT0009977
hsa-miR-2053,MIMAT0009978
hsa-miR-2054,MIMAT0009979
hsa-miR-206,MIMAT0000462
hsa-miR-208a,MIMAT0000241
hsa-miR-208b,MIMAT0004960
hsa-miR-20a,MIMAT0000075
hsa-miR-20a-3p,MIMAT0004493
hsa-miR-20b,MIMAT0001413
hsa-miR-20b-3p,MIMAT0004752
hsa-miR-21,MIMAT0000076
hsa-miR-21-3p,MIMAT0004494
hsa-miR-210,MIMAT0000267
hsa-miR-211,MIMAT0000268
hsa-miR-2110,MIMAT0010133
hsa-miR-2113,MIMAT0009206
hsa-miR-2114,MIMAT0011156
hsa-miR-2114-3p,MIMAT0011157
hsa-miR-2115,MIMAT0011158
hsa-miR-2115-3p,MIMAT0011159
hsa-miR-2116,MIMAT0011160
hsa-miR-2116-3p,MIMAT0011161
hsa-miR-2117,MIMAT0011162
hsa-miR-212,MIMAT0000269
hsa-miR-214,MIMAT0000271
hsa-miR-214-3p,MIMAT0004564
hsa-miR-215,MIMAT0000272
hsa-miR-216a,MIMAT0000273
hsa-miR-216b,MIMAT0004959
hsa-miR-217,MIMAT0000274
hsa-miR-218,MIMAT0000275
hsa-miR-218-1-3p,MIMAT0004565
hsa-miR-218-2-3p,MIMAT0004566
hsa-miR-219-1-3p,MIMAT0004567
hsa-miR-219-2-3p,MIMAT0004675
hsa-miR-219-5p,MIMAT0000276
hsa-miR-22,MIMAT0000077
hsa-miR-22-3p,MIMAT0004495
hsa-miR-221,MIMAT0000278
hsa-miR-221-3p,MIMAT0004568
hsa-miR-222,MIMAT0000279
hsa-miR-222-3p,MIMAT0004569
hsa-miR-223,MIMAT0000280
hsa-miR-223-3p,MIMAT0004570
hsa-miR-224,MIMAT0000281
hsa-miR-224-3p,MIMAT0009198
hsa-miR-2276,MIMAT0011775
hsa-miR-2277-3p,MIMAT0011777
hsa-miR-2277-5p,MIMAT0017352
hsa-miR-2278,MIMAT0011778
hsa-miR-2355-3p,MIMAT0017950
hsa-miR-2355-5p,MIMAT0016895
hsa-miR-23a,MIMAT0000078
hsa-miR-23a-3p,MIMAT0004496
hsa-miR-23b,MIMAT0000418
hsa-miR-23b-3p,MIMAT0004587
hsa-miR-23c,MIMAT0018000
hsa-miR-24,MIMAT0000080
hsa-miR-24-1-3p,MIMAT0000079
hsa-miR-24-2-3p,MIMAT0004497
hsa-miR-25,MIMAT0000081
hsa-miR-25-3p,MIMAT0004498
hsa-miR-26a,MIMAT0000082
hsa-miR-26a-1-3p,MIMAT0004499
hsa-miR-26a-2-3p,MIMAT0004681
hsa-miR-26b,MIMAT0000083
hsa-miR-26b-3p,MIMAT0004500
hsa-miR-27a,MIMAT0000084
hsa-miR-27a-3p,MIMAT0004501
hsa-miR-27b,MIMAT0000419
hsa-miR-27b-3p,MIMAT0004588
hsa-miR-28-3p,MIMAT0004502
hsa-miR-28-5p,MIMAT0000085
hsa-miR-2861,MIMAT0013802
hsa-miR-2909,MIMAT0013863
hsa-miR-296-3p,MIMAT0004679
hsa-miR-296-5p,MIMAT0000690
hsa-miR-297,MIMAT0004450
hsa-miR-298,MIMAT0004901
hsa-miR-299-3p,MIMAT0000687
hsa-miR-299-5p,MIMAT0002890
hsa-miR-29a,MIMAT0000086
hsa-miR-29a-3p,MIMAT0004503
hsa-miR-29b,MIMAT0000100
hsa-miR-29b-1-3p,MIMAT0004514
hsa-miR-29b-2-3p,MIMAT0004515
hsa-miR-29c,MIMAT0000681
hsa-miR-29c-3p,MIMAT0004673
hsa-miR-300,MIMAT0004903
hsa-miR-301a,MIMAT0000688
hsa-miR-301b,MIMAT0004958
hsa-miR-302a,MIMAT0000684
hsa-miR-302a-3p,MIMAT0000683
hsa-miR-302b,MIMAT0000715
hsa-miR-302b-3p,MIMAT0000714
hsa-miR-302c,MIMAT0000717
hsa-miR-302c-3p,MIMAT0000716
hsa-miR-302d,MIMAT0000718
hsa-miR-302d-3p,MIMAT0004685
hsa-miR-302e,MIMAT0005931
hsa-miR-302f,MIMAT0005932
hsa-miR-3065-3p,MIMAT0015378
hsa-miR-3065-5p,MIMAT0015066
hsa-miR-3074,MIMAT0015027
hsa-miR-30a,MIMAT0000087
hsa-miR-30a-3p,MIMAT0000088
hsa-miR-30b,MIMAT0000420
hsa-miR-30b-3p,MIMAT0004589
hsa-miR-30c,MIMAT0000244
hsa-miR-30c-1-3p,MIMAT0004674
hsa-miR-30c-2-3p,MIMAT0004550
hsa-miR-30d,MIMAT0000245
hsa-miR-30d-3p,MIMAT0004551
hsa-miR-30e,MIMAT0000692
hsa-miR-30e-3p,MIMAT0000693
hsa-miR-31,MIMAT0000089
hsa-miR-31-3p,MIMAT0004504
hsa-miR-3115,MIMAT0014977
hsa-miR-3116,MIMAT0014978
hsa-miR-3117,MIMAT0014979
hsa-miR-3118,MIMAT0014980
hsa-miR-3119,MIMAT0014981
hsa-miR-3120,MIMAT0014982
hsa-miR-3121,MIMAT0014983
hsa-miR-3122,MIMAT0014984
hsa-miR-3123,MIMAT0014985
hsa-miR-3124,MIMAT0014986
hsa-miR-3125,MIMAT0014988
hsa-miR-3126-3p,MIMAT0015377
hsa-miR-3126-5p,MIMAT0014989
hsa-miR-3127,MIMAT0014990
hsa-miR-3128,MIMAT0014991
hsa-miR-3129,MIMAT0014992
hsa-miR-3130-3p,MIMAT0014994
hsa-miR-3130-5p,MIMAT0014995
hsa-miR-3131,MIMAT0014996
hsa-miR-3132,MIMAT0014997
hsa-miR-3133,MIMAT0014998
hsa-miR-3134,MIMAT0015000
hsa-miR-3135,MIMAT0015001
hsa-miR-3136,MIMAT0015003
hsa-miR-3137,MIMAT0015005
hsa-miR-3138,MIMAT0015006
hsa-miR-3139,MIMAT0015007
hsa-miR-3140,MIMAT0015008
hsa-miR-3141,MIMAT0015010
hsa-miR-3142,MIMAT0015011
hsa-miR-3143,MIMAT0015012
hsa-miR-3144-3p,MIMAT0015015
hsa-miR-3144-5p,MIMAT0015014
hsa-miR-3145,MIMAT0015016
hsa-miR-3146,MIMAT0015018
hsa-miR-3147,MIMAT0015019
hsa-miR-3148,MIMAT0015021
hsa-miR-3149,MIMAT0015022
hsa-miR-3150,MIMAT0015023
hsa-miR-3150b,MIMAT0018194
hsa-miR-3151,MIMAT0015024
hsa-miR-3152,MIMAT0015025
hsa-miR-3153,MIMAT0015026
hsa-miR-3154,MIMAT0015028
hsa-miR-3155,MIMAT0015029
hsa-miR-3156,MIMAT0015030
hsa-miR-3157,MIMAT0015031
hsa-miR-3158,MIMAT0015032
hsa-miR-3159,MIMAT0015033
hsa-miR-3160,MIMAT0015034
hsa-miR-3161,MIMAT0015035
hsa-miR-3162,MIMAT0015036
hsa-miR-3163,MIMAT0015037
hsa-miR-3164,MIMAT0015038
hsa-miR-3165,MIMAT0015039
hsa-miR-3166,MIMAT0015040
hsa-miR-3167,MIMAT0015042
hsa-miR-3168,MIMAT0015043
hsa-miR-3169,MIMAT0015044
hsa-miR-3170,MIMAT0015045
hsa-miR-3171,MIMAT0015046
hsa-miR-3173,MIMAT0015048
hsa-miR-3174,MIMAT0015051
hsa-miR-3175,MIMAT0015052
hsa-miR-3176,MIMAT0015053
hsa-miR-3177,MIMAT0015054
hsa-miR-3178,MIMAT0015055
hsa-miR-3179,MIMAT0015056
hsa-miR-3180,MIMAT0018178
hsa-miR-3180-3p,MIMAT0015058
hsa-miR-3180-5p,MIMAT0015057
hsa-miR-3181,MIMAT0015061
hsa-miR-3182,MIMAT0015062
hsa-miR-3183,MIMAT0015063
hsa-miR-3184,MIMAT0015064
hsa-miR-3185,MIMAT0015065
hsa-miR-3186-3p,MIMAT0015068
hsa-miR-3186-5p,MIMAT0015067
hsa-miR-3187,MIMAT0015069
hsa-miR-3188,MIMAT0015070
hsa-miR-3189,MIMAT0015071
hsa-miR-3190,MIMAT0015073
hsa-miR-3191,MIMAT0015075
hsa-miR-3192,MIMAT0015076
hsa-miR-3193,MIMAT0015077
hsa-miR-3194,MIMAT0015078
hsa-miR-3195,MIMAT0015079
hsa-miR-3196,MIMAT0015080
hsa-miR-3197,MIMAT0015082
hsa-miR-3198,MIMAT0015083
hsa-miR-3199,MIMAT0015084
hsa-miR-32,MIMAT0000090
hsa-miR-32-3p,MIMAT0004505
hsa-miR-3200-3p,MIMAT0015085
hsa-miR-3200-5p,MIMAT0017392
hsa-miR-3201,MIMAT0015086
hsa-miR-3202,MIMAT0015089
hsa-miR-320a,MIMAT0000510
hsa-miR-320b,MIMAT0005792
hsa-miR-320c,MIMAT0005793
hsa-miR-320d,MIMAT0006764
hsa-miR-320e,MIMAT0015072
hsa-miR-323-3p,MIMAT0000755
hsa-miR-323-5p,MIMAT0004696
hsa-miR-323b-3p,MIMAT0015050
hsa-miR-323b-5p,MIMAT0001630
hsa-miR-324-3p,MIMAT0000762
hsa-miR-324-5p,MIMAT0000761
hsa-miR-325,MIMAT0000771
hsa-miR-326,MIMAT0000756
hsa-miR-328,MIMAT0000752
hsa-miR-329,MIMAT0001629
hsa-miR-330-3p,MIMAT0000751
hsa-miR-330-5p,MIMAT0004693
hsa-miR-331-3p,MIMAT0000760
hsa-miR-331-5p,MIMAT0004700
hsa-miR-335,MIMAT0000765
hsa-miR-335-3p,MIMAT0004703
hsa-miR-337-3p,MIMAT0000754
hsa-miR-337-5p,MIMAT0004695
hsa-miR-338-3p,MIMAT0000763
hsa-miR-338-5p,MIMAT0004701
hsa-miR-339-3p,MIMAT0004702
hsa-miR-339-5p,MIMAT0000764
hsa-miR-33a,MIMAT0000091
hsa-miR-33a-3p,MIMAT0004506
hsa-miR-33b,MIMAT0003301
hsa-miR-33b-3p,MIMAT0004811
hsa-miR-340,MIMAT0004692
hsa-miR-340-3p,MIMAT0000750
hsa-miR-342-3p,MIMAT0000753
hsa-miR-342-5p,MIMAT0004694
hsa-miR-345,MIMAT0000772
hsa-miR-346,MIMAT0000773
hsa-miR-34a,MIMAT0000255
hsa-miR-34a-3p,MIMAT0004557
hsa-miR-34b,MIMAT0004676
hsa-miR-34b-3p,MIMAT0000685
hsa-miR-34c-3p,MIMAT0004677
hsa-miR-34c-5p,MIMAT0000686
hsa-miR-3605-3p,MIMAT0017982
hsa-miR-3605-5p,MIMAT0017981
hsa-miR-3606,MIMAT0017983
hsa-miR-3607-3p,MIMAT0017985
hsa-miR-3607-5p,MIMAT0017984
hsa-miR-3609,MIMAT0017986
hsa-miR-3610,MIMAT0017987
hsa-miR-3611,MIMAT0017988
hsa-miR-3612,MIMAT0017989
hsa-miR-3613-3p,MIMAT0017991
hsa-miR-3613-5p,MIMAT0017990
hsa-miR-361-3p,MIMAT0004682
hsa-miR-3614-3p,MIMAT0017993
hsa-miR-3614-5p,MIMAT0017992
hsa-miR-3615,MIMAT0017994
hsa-miR-361-5p,MIMAT0000703
hsa-miR-3616-3p,MIMAT0017996
hsa-miR-3616-5p,MIMAT0017995
hsa-miR-3617,MIMAT0017997
hsa-miR-3618,MIMAT0017998
hsa-miR-3619,MIMAT0017999
hsa-miR-3620,MIMAT0018001
hsa-miR-3621,MIMAT0018002
hsa-miR-3622a-3p,MIMAT0018004
hsa-miR-3622a-5p,MIMAT0018003
hsa-miR-3622b-3p,MIMAT0018006
hsa-miR-3622b-5p,MIMAT0018005
hsa-miR-362-3p,MIMAT0004683
hsa-miR-362-5p,MIMAT0000705
hsa-miR-363,MIMAT0000707
hsa-miR-363-3p,MIMAT0003385
hsa-miR-3646,MIMAT0018065
hsa-miR-3647-3p,MIMAT0018067
hsa-miR-3647-5p,MIMAT0018066
hsa-miR-3648,MIMAT0018068
hsa-miR-3649,MIMAT0018069
hsa-miR-365,MIMAT0000710
hsa-miR-365-3p,MIMAT0009199
hsa-miR-3650,MIMAT0018070
hsa-miR-3651,MIMAT0018071
hsa-miR-3652,MIMAT0018072
hsa-miR-3653,MIMAT0018073
hsa-miR-3654,MIMAT0018074
hsa-miR-3655,MIMAT0018075
hsa-miR-3656,MIMAT0018076
hsa-miR-3657,MIMAT0018077
hsa-miR-3658,MIMAT0018078
hsa-miR-3659,MIMAT0018080
hsa-miR-3660,MIMAT0018081
hsa-miR-3661,MIMAT0018082
hsa-miR-3662,MIMAT0018083
hsa-miR-3663-3p,MIMAT0018085
hsa-miR-3663-5p,MIMAT0018084
hsa-miR-3664,MIMAT0018086
hsa-miR-3665,MIMAT0018087
hsa-miR-3666,MIMAT0018088
hsa-miR-3667-3p,MIMAT0018090
hsa-miR-3667-5p,MIMAT0018089
hsa-miR-3668,MIMAT0018091
hsa-miR-3669,MIMAT0018092
hsa-miR-367,MIMAT0000719
hsa-miR-367-3p,MIMAT0004686
hsa-miR-3670,MIMAT0018093
hsa-miR-3671,MIMAT0018094
hsa-miR-3672,MIMAT0018095
hsa-miR-3673,MIMAT0018096
hsa-miR-3674,MIMAT0018097
hsa-miR-3675-3p,MIMAT0018099
hsa-miR-3675-5p,MIMAT0018098
hsa-miR-3676,MIMAT0018100
hsa-miR-3677,MIMAT0018101
hsa-miR-3678-3p,MIMAT0018103
hsa-miR-3678-5p,MIMAT0018102
hsa-miR-3679-3p,MIMAT0018105
hsa-miR-3679-5p,MIMAT0018104
hsa-miR-3680,MIMAT0018106
hsa-miR-3680-3p,MIMAT0018107
hsa-miR-3681,MIMAT0018108
hsa-miR-3681-3p,MIMAT0018109
hsa-miR-3682,MIMAT0018110
hsa-miR-3683,MIMAT0018111
hsa-miR-3684,MIMAT0018112
hsa-miR-3685,MIMAT0018113
hsa-miR-3686,MIMAT0018114
hsa-miR-3687,MIMAT0018115
hsa-miR-3688,MIMAT0018116
hsa-miR-3689a-3p,MIMAT0018118
hsa-miR-3689a-5p,MIMAT0018117
hsa-miR-3689b,MIMAT0018180
hsa-miR-3689b-3p,MIMAT0018181
hsa-miR-3690,MIMAT0018119
hsa-miR-3691,MIMAT0018120
hsa-miR-3692,MIMAT0018122
hsa-miR-3692-3p,MIMAT0018121
hsa-miR-369-3p,MIMAT0000721
hsa-miR-369-5p,MIMAT0001621
hsa-miR-370,MIMAT0000722
hsa-miR-3713,MIMAT0018164
hsa-miR-371-3p,MIMAT0000723
hsa-miR-3714,MIMAT0018165
hsa-miR-371-5p,MIMAT0004687
hsa-miR-372,MIMAT0000724
hsa-miR-373,MIMAT0000726
hsa-miR-373-3p,MIMAT0000725
hsa-miR-374a,MIMAT0000727
hsa-miR-374a-3p,MIMAT0004688
hsa-miR-374b,MIMAT0004955
hsa-miR-374b-3p,MIMAT0004956
hsa-miR-374c,MIMAT0018443
hsa-miR-375,MIMAT0000728
hsa-miR-376a,MIMAT0000729
hsa-miR-376a-3p,MIMAT0003386
hsa-miR-376b,MIMAT0002172
hsa-miR-376c,MIMAT0000720
hsa-miR-377,MIMAT0000730
hsa-miR-377-3p,MIMAT0004689
hsa-miR-378,MIMAT0000732
hsa-miR-378-3p,MIMAT0000731
hsa-miR-378b,MIMAT0014999
hsa-miR-378c,MIMAT0016847
hsa-miR-379,MIMAT0000733
hsa-miR-379-3p,MIMAT0004690
hsa-miR-380,MIMAT0000735
hsa-miR-380-3p,MIMAT0000734
hsa-miR-381,MIMAT0000736
hsa-miR-382,MIMAT0000737
hsa-miR-383,MIMAT0000738
hsa-miR-384,MIMAT0001075
hsa-miR-3907,MIMAT0018179
