pat1,pat2,pat3,pat4,pat5,pat6,pat7,pat8,pat9,pat10,pat11,pat12,pat13,pat14,pat15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80755,904.419,361.562,451.489,439.194,846.109,249.097,552.424,406.616,493.129,852.401,655.852,583.131,1035.07,393.474,559.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
132949,101.345,249.228,206.192,364.834,271.604,238.668,136.759,234.586,263.742,72.6301,233.461,520.024,138.575,381.504,257.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
60496,1467.34,820.537,1048.14,590.24,1013.77,1043.72,441.359,686.08,815.011,1034.64,926.845,830.097,525.452,1155.32,714.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10157,946.206,183.197,303.955,644.462,189.452,422.784,446.332,342.36,209.302,605.993,316.794,546.723,101.244,326.286,76.8507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
26574,1256.48,1055.7,895.867,542.215,1127.21,2128.76,1078.33,1273.91,896.934,1104.6,1150.76,994.539,1415.16,849.117,1135.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
9625,27.8578,1081.42,93.0233,450.976,44.1497,123.145,114.422,1571.05,131.395,60.5993,32.4427,54.6117,159.502,293.851,48.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
18,1580.69,1477.65,943.268,623.548,584.564,255.917,40.6133,1321.84,3428.12,52.5788,4369.59,1716.02,77.4887,542.909,422.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10349,70.6052,9.6631,36.7353,30.2091,17.3246,30.4854,32.3249,49.2971,18.4989,4.9014,40.7125,47.9369,19.7964,59.0791,4.2993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
19,319.404,1071.8,896.46,310.612,800.283,328.119,2221.28,826.152,194.503,2265.79,565.522,1001.21,391.968,1302.06,175.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
79963,46.2488,76.4031,28.4936,165.771,54.6618,49.4344,86.6266,200.986,60.9567,15.4662,136.101,111.948,65.7014,127.422,76.9958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
26154,0,0,5.3325,0.7746,0,0,0,1.0199,0.5285,16.041,42.6209,0.6068,0,0.3861,2.1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
154664,0.4803,0.8053,164.124,11.6189,0,6.418,11.1894,1.0199,273.784,0.4456,2.5445,3.6408,1.1312,634.424,45.1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
650655,42.2671,12.8842,31.9953,140.201,68.7394,17.2483,2.0721,23.7986,49.1543,3.1191,59.7964,62.5,6.7873,42.8613,48.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
20,804.515,992.484,3065.03,3364.06,402.377,1297.23,957.729,1443.22,538.055,1788.57,222.646,3300.36,2542.99,4028.19,1418.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
21,729.587,1097.97,4815.29,4017.82,863.992,816.286,112.723,378.398,2575.58,189.818,1088.42,2847.69,181.561,3551.31,941.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
24,2.4015,6.8447,7.1101,0,2.7943,2.8079,50.5595,2.0399,1.0571,1.7823,1.9084,4.2476,2.2624,2.703,3.7619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
23461,2036.98,268.555,878.685,719.597,908.142,959.487,109.407,1149.13,393.763,207.196,742.366,1005.46,1149.32,2027.22,198.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
23460,14.4092,28.5868,19.5527,1.5492,105.624,6.8191,321.591,6.1196,2.6427,489.696,18.4478,15.1699,1.6968,31.2772,7.5238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10347,431.316,210.978,418.901,2038.73,396.788,614.12,244.509,279.124,661.734,171.549,468.193,626.82,449.095,486.533,335.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10351,4.3228,121.997,1368.69,982.184,5000.65,1036.1,138.417,1355.5,952.431,3.5647,596.056,1781.55,374.434,1658.85,23.6464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
10350,36.0231,40.6657,39.6978,47.2502,29.0605,14.8416,235.806,25.4985,113.636,18.7145,40.0763,43.6893,14.1403,78.3859,10.7484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
23456,413.064,381.694,178.936,290.473,276.075,292.82,246.581,74.1157,238.901,421.076,150.763,247.573,189.48,109.663,217.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
8647,0.4803,0,1.7775,0,0,0,0,0,0,0,0,0,0.5656,0.3861,0.5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
5243,1052.35,2837.34,18921,213.013,3639.27,4225.83,126.399,3059.14,6033.3,23.1703,8753.18,768.204,2473.98,10964.4,4599.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
5244,363.593,5538.58,5724.78,226.956,95.5645,425.993,14.0903,817.312,285.412,6.6837,529.262,14.5631,763.575,8037.84,54.8166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
